"Week Ending","Federal Provider Number","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Provider Phone Number","County","Submitted Data","Passed Quality Assurance Check","Residents Weekly Confirmed COVID-19","Residents Total Confirmed COVID-19","Residents Weekly All Deaths","Residents Total All Deaths","Residents Weekly COVID-19 Deaths","Residents Total COVID-19 Deaths","Number of All Beds","Total Number of Occupied Beds","Residents Hospitalizations with Confirmed COVID-19","Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines","Staff Weekly Confirmed COVID-19","Staff Total Confirmed COVID-19","Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents","Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test","Number of Residents Staying in this Facility for At Least 1 Day This Week","Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week","Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time","Recent Percentage of Current Healthcare Personnel who Received a Completed COVID-19 Vaccination at Any Time","Percentage of Current Healthcare Personnel who Received a Completed COVID-19 Vaccination at Any Time","Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines","Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines","Percentage of Current Residents Up to Date with COVID-19 Vaccines","Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines","Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines","Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines"
"05/24/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",45,45,4,4,4,4,57,45,0,0,33,33,1000,88.89,1000,88.89,,,,,,,,,,,,
"05/31/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,4,0,4,57,42,0,0,2,35,0,0,1071.43,95.24,,,,,,,,,,,,
"06/07/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,4,0,4,57,43,0,0,0,35,0,0,1046.51,93.02,,,,,,,,,,,,
"06/14/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,4,0,4,57,43,0,0,0,35,0,0,1046.51,93.02,,,,,,,,,,,,
"06/21/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,4,0,4,57,45,0,0,0,35,0,0,1000,88.89,,,,,,,,,,,,
"06/28/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,1,5,0,4,57,46,0,0,0,35,0,0,978.26,86.96,,,,,,,,,,,,
"07/05/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,1,6,1,5,57,47,0,0,0,35,0,21.28,957.45,106.38,,,,,,,,,,,,
"07/12/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,6,0,5,57,47,0,0,0,35,0,0,957.45,106.38,,,,,,,,,,,,
"07/19/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,6,0,5,57,47,0,0,0,35,0,0,957.45,106.38,,,,,,,,,,,,
"07/26/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,6,0,5,57,48,0,0,1,36,0,0,937.5,104.17,,,,,,,,,,,,
